model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.140132],-0.1991740221525036,0.0051908974442223706,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140133],-0.18127061896320915,0.004844958537315433,2.289729910409793e-306,51862,0.034120678215294964
m2,C(ubigeo)[T.140134],-0.1910312307491221,0.004894602340339489,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140135],-0.1829489358393802,0.004765745409281756,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140136],-0.20026398156589723,0.005169647684348205,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140137],-0.20263584664755704,0.005308543920431606,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140138],-0.193531573944875,0.004930203413354237,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140139],-0.13336095726396185,0.004590000351946454,1.3432495636646872e-185,51862,0.034120678215294964
m2,C(ubigeo)[T.140140],-0.1827877067553795,0.004643155249337014,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140141],-0.19679008248889787,0.005027888932264971,0.0,51862,0.034120678215294964
